countries	countries (codes)	item	item (codes)	year	Total Population - Both sexes (1000)	Production (1000 tonnes)	Import Quantity (1000 tonnes)	Stock Variation (1000 tonnes)	Export Quantity (1000 tonnes)	Domestic supply quantity (1000 tonnes)	Feed (1000 tonnes)	Seed (1000 tonnes)	Processing (1000 tonnes)	Other Util (1000 tonnes)	Food (1000 tonnes)	Food supply quantity (kg/capita/yr)	Food supply (kcal/capita/day)	Protein supply quantity (g/capita/day)	Fat supply quantity (g/capita/day)	
United States of America	231	Population	2501	2007	308674														
United States of America	231	Grand Total +	2901	2007													3748	113.6	160.2
United States of America	231	Vegetal Products +	2903	2007													2721	40.5	89.8
United States of America	231	Animal Products +	2941	2007													1028	73.1	70.4
United States of America	231	Cereals - Excluding Beer +	2905	2007		412169	9116	-41034	105690	274560	162027	3427	65524	9137	34450	111.6	830	24.4	3.7
United States of America	231	Wheat	2511	2007		55823	4163	9811	37087	32711	4082	2384	63	0	26181	84.8	612	19.7	2.9
United States of America	231	Rice (Milled Equivalent)	2805	2007		6002	899	191	3443	3649		109	416	574	2550	8.3	87	1.6	0.1
United States of America	231	Barley	2513	2007		4575	957	518	1311	4739	706	152	3712	0	169	0.5	5	0.2	0.0
United States of America	231	Maize	2514	2007		331175	560	-49749	57919	224067	150834	555	60324	8468	3887	12.6	94	1.7	0.3
United States of America	231	Rye	2515	2007		201	142	0	5	338	100	76		76	85	0.3	2	0.1	0.0
United States of America	231	Oats	2516	2007		1313	2191	-381	81	3042	1745	122			1175	3.8	18	0.8	0.3
United States of America	231	Millet	2517	2007		377	2		34	345	326			19					
United States of America	231	Sorghum	2518	2007		12636	3	-1425	5704	5509	4166	27	1009		308	1.0	9	0.3	0.1
United States of America	231	Cereals, Other	2520	2007		68	198	0	105	160	68	3			94	0.3	3	0.1	0.0
United States of America	231	Starchy Roots +	2907	2007		21212	3433	0	2465	22180	337	1196		2621	18027	58.4	95	2.5	0.2
United States of America	231	Cassava	2532	2007			344		4	340	197			103	40	0.1	0	0.0	0.0
United States of America	231	Potatoes	2531	2007		20373	2973	0	2412	20934	107	1146		2505	17177	55.6	90	2.4	0.2
United States of America	231	Sweet Potatoes	2533	2007		837	8		41	804	33	50		8	712	2.3	5	0.1	0.0
United States of America	231	Yams	2535	2007			35			35					35	0.1	0	0.0	0.0
United States of America	231	Roots, Other	2534	2007		2	73		8	67				5	62	0.2	0	0.0	0.0
United States of America	231	Sugarcrops +	2908	2007		59663	48		1	59709		1703	58006						
United States of America	231	Sugar Cane	2536	2007		27751	48		0	27798		1703	26095						
United States of America	231	Sugar Beet	2537	2007		31912	0		1	31911			31911						
United States of America	231	Sugar & Sweeteners +	2909	2007		19740	2972	950	2146	21516			26	740	20857	67.6	629	0.2	
United States of America	231	Sugar, Non-Centrifugal	2541	2007															
United States of America	231	Sugar (Raw Equivalent)	2542	2007		7394	2237	950	398	10183			26	51	10106	32.7	330		
United States of America	231	Sweeteners, Other	2543	2007		12279	630	0	1744	11165			0	690	10581	34.3	295	0.2	
United States of America	231	Honey	2745	2007		67	105		4	169					169	0.5	5	0.0	
United States of America	231	Pulses +	2911	2007		2104	277	1	951	1432	75	55		1	1302	4.2	39	2.6	0.2
United States of America	231	Beans	2546	2007		1151	171	1	309	1014	1	33		1	980	3.2	30	1.9	0.1
United States of America	231	Peas	2547	2007		721	47	0	483	285		22			263	0.9	8	0.6	0.0
United States of America	231	Pulses, Other	2549	2007		232	59	0	159	133	74	0			59	0.2	2	0.1	0.0
United States of America	231	Treenuts +	2912	2007		1628	702	0	1009	1321				140	1181	3.8	27	0.8	2.4
United States of America	231	Oilcrops +	2913	2007		82569	1897	10032	33504	60994	5400	2776	53364	98	1680	5.4	61	2.5	5.3
United States of America	231	Soyabeans	2555	2007		72860	294	9000	29846	52309	1080	2531	48678	7	13	0.0	0	0.0	0.0
United States of America	231	Groundnuts (Shelled Eq)	2556	2007		1188	43	0	213	1017		60	187		771	2.5	42	1.9	3.6
United States of America	231	Sunflowerseed	2557	2007		1318	123	-65	160	1216	320	10	566		320	1.0	9	0.3	0.8
United States of America	231	Rape and Mustardseed	2558	2007		675	735	0	412	998		4	1031	16	82	0.3	3	0.2	0.2
United States of America	231	Cottonseed	2559	2007		6163	3	1019	575	6611	4000	161	2450						
United States of America	231	Coconuts - Incl Copra	2560	2007			223	0	4	219			0	8	211	0.7	3	0.0	0.3
United States of America	231	Sesameseed	2561	2007		0	40		2	39				2	37	0.1	2	0.1	0.2
United States of America	231	Palmkernels	2562	2007			0		0	0									
United States of America	231	Olives	2563	2007		120	153		5	268			13	13	242	0.8	2	0.0	0.2
United States of America	231	Oilcrops, Other	2570	2007		245	283	77	2288			10	439	51	5	0.0	0	0.0	0.0
United States of America	231	Vegetable Oils +	2914	2007		11939	3174	424	2551	12986			0	4154	8995	29.1	661	0.2	74.7
United States of America	231	Soyabean Oil	2571	2007		9397	218	306	1133	8788				1871	6916	22.4	502	0.2	56.7
United States of America	231	Groundnut Oil	2572	2007		80	21	26	19	108				28	79	0.3	6	0.0	0.7
United States of America	231	Sunflowerseed Oil	2573	2007		252	75	0	143	184				144	40	0.1	3	0.0	0.4
United States of America	231	Rape and Mustard Oil	2574	2007		394	747	0	252	889			0	305	585	1.9	45	0.0	5.1
United States of America	231	Cottonseed Oil	2575	2007		387	1	65	66	387				133	253	0.8	19	0.0	2.1
United States of America	231	Palmkernel Oil	2576	2007			279	0	9	271			0	247	24	0.1	2	0.0	0.2
United States of America	231	Palm Oil	2577	2007			790	0	93	697				736	0	0.0	0	0.0	0.0
United States of America	231	Coconut Oil	2578	2007			460	0	48	412			0	349	63	0.2	5	0.0	0.6
United States of America	231	Sesameseed Oil	2579	2007			12		1	11				11					
